,code,areaName,houseType,households,HouseholdSize,Households
233,E12000001,North East,flats,133229,h8plus,2186
234,E12000001,North East,commercial,6299,h0,0
235,E12000001,North East,commercial,6299,h1,395924
236,E12000001,North East,commercial,6299,h2,395924
237,E12000001,North East,commercial,6299,h3,410822
238,E12000001,North East,commercial,6299,h4,183528
239,E12000001,North East,commercial,6299,h5,128338
240,E12000001,North East,commercial,6299,h6,39167
241,E12000001,North East,commercial,6299,h7,12028
242,E12000001,North East,commercial,6299,h8plus,2186
243,E12000001,North East,conversion,4982,h0,0
244,E12000001,North East,conversion,4982,h1,395924
245,E12000001,North East,conversion,4982,h2,395924
246,E12000001,North East,conversion,4982,h3,410822
247,E12000001,North East,conversion,4982,h4,183528
248,E12000001,North East,conversion,4982,h5,128338
249,E12000001,North East,conversion,4982,h6,39167
250,E12000001,North East,conversion,4982,h7,12028
251,E12000001,North East,conversion,4982,h8plus,2186
252,E12000001,North East,terraced,326453,h0,0
253,E12000001,North East,terraced,326453,h1,395924
254,E12000001,North East,terraced,326453,h2,395924
255,E12000001,North East,terraced,326453,h3,410822
256,E12000001,North East,terraced,326453,h4,183528
257,E12000001,North East,terraced,326453,h5,128338
258,E12000001,North East,terraced,326453,h6,39167
259,E12000001,North East,terraced,326453,h7,12028
260,E12000001,North East,terraced,326453,h8plus,2186
261,E12000001,North East,detached,207943,h0,0
262,E12000001,North East,detached,207943,h1,395924
263,E12000001,North East,detached,207943,h2,395924
264,E12000001,North East,detached,207943,h3,410822
265,E12000001,North East,detached,207943,h4,183528
266,E12000001,North East,detached,207943,h5,128338
267,E12000001,North East,detached,207943,h6,39167
268,E12000001,North East,detached,207943,h7,12028
269,E12000001,North East,detached,207943,h8plus,2186
270,E12000001,North East,semiDetached,470849,h0,0
271,E12000001,North East,semiDetached,470849,h1,395924
272,E12000001,North East,semiDetached,470849,h2,395924
273,E12000001,North East,semiDetached,470849,h3,410822
274,E12000001,North East,semiDetached,470849,h4,183528
275,E12000001,North East,semiDetached,470849,h5,128338
276,E12000001,North East,semiDetached,470849,h6,39167
277,E12000001,North East,semiDetached,470849,h7,12028
278,E12000001,North East,semiDetached,470849,h8plus,2186
279,E12000001,North East,caravan,1414,h0,0
280,E12000001,North East,caravan,1414,h1,395924
281,E12000001,North East,caravan,1414,h2,395924
282,E12000001,North East,caravan,1414,h3,410822
283,E12000001,North East,caravan,1414,h4,183528
284,E12000001,North East,caravan,1414,h5,128338
285,E12000001,North East,caravan,1414,h6,39167
286,E12000001,North East,caravan,1414,h7,12028
287,E12000001,North East,caravan,1414,h8plus,2186
288,E12000002,North West,commercial,22714,h0,0
289,E12000002,North West,commercial,22714,h1,1014910
290,E12000002,North West,commercial,22714,h2,1014910
291,E12000002,North West,commercial,22714,h3,1054079
292,E12000002,North West,commercial,22714,h4,500601
293,E12000002,North West,commercial,22714,h5,377427
294,E12000002,North West,commercial,22714,h6,133010
295,E12000002,North West,commercial,22714,h7,45673
296,E12000002,North West,commercial,22714,h8plus,11611
297,E12000002,North West,terraced,886330,h0,0
